Año;Mes;Día;Fecha;Máxima;Mínima;Media;Tiempo;Humedad Relativa %
2000;8;10;20000810;24.9;6;15.45;Despejado;60.6
2000;10;1;20001001;27.8;8.7;18.25;Despejado;60.8
2000;9;5;20000905;24.5;2.2;13.35;Despejado;53.2
2000;10;10;20001010;19.9;9.2;14.55;Despejado;63.1
2000;10;15;20001015;23.2;7;15.1;Despejado;60.6
2000;10;20;20001020;25.7;6.6;16.15;Nublado;60.8
2000;8;1;20000801;25.8;8.5;17.15;Despejado;54.2
2000;8;5;20000805;21.7;4.9;13.3;Despejado;63.1
2000;9;20;20000920;24.6;3.3;13.95;Despejado;73.7
2000;10;5;20001005;28.3;6.7;17.5;Despejado;54.2
2000;9;10;20000910;23.7;-0.2;11.75;Despejado;53.1
2000;8;15;20000815;24.9;6.2;15.55;Despejado;62.1
2000;8;20;20000820;24;3.1;13.55;Despejado;51.4
2000;8;25;20000825;22.3;5;13.65;Despejado;60.6
2000;8;30;20000830;17.8;10.6;14.2;Nublado;56.7
2000;9;1;20000901;22.8;8.5;15.65;Nublado;50.3
2000;9;15;20000915;23.4;2.9;13.15;Despejado;79.7
2000;9;25;20000925;31.1;14.5;22.8;Despejado;60.4
2000;9;30;20000930;29.9;14.7;22.3;Despejado;53.4
